title,location,time,link,desc
Junior Software Engineer," Tel Aviv-Yafo, Tel Aviv District, Israel ",29/03/2023,https://il.linkedin.com/jobs/view/junior-software-engineer-at-optimove-3549571226?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=Z8xOQxqcuf7khzizyei%2BJQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Optimove is a global marketing tech company, recognized as a Leader by Forrester and a Challenger by Gartner. We work with some of the world's most exciting brands, such as Papa John's, Staples, and Entain, who love our thought-provoking combination of art and science. With a strong product, a proven business, and the DNA of a vibrant, fast-growing startup, we're on the cusp of our next growth spurt. It's the perfect time to join our team of ~400 thinkers and doers across NYC, LDN, TLV, and other locations, where 2 of every 3 managers were promoted from within. Growing your career with Optimove is basically guaranteed.Based in central Tel Aviv, our R&D operation is a dynamic environment, where every developer can impact the flow of technology – from introducing the smallest library to making big infrastructure changes. We welcome open-minded developers who like to share knowledge and help each other push Optimove forward to the cutting edge of today's tech.If you always dreamed of being a REAL developer this is the team for you. Our core team can do it all ( C#, NodeJS, SQL, Docker, GCP, cloud functions, CI/CD...) on a growing fast, high-scale product that handles thousands of events per second.Responsibilities:We are a team of technophiles who hate latency. As a member of our team, you will need to:Develop and maintain systems that can process complex requests within a few milliseconds. Tackle advanced engineering challenges in multiple languages and environments. On every product that the team manages, from ideation and planning, all the way to production and monitoring. Teach and learn. We love to inspire and be inspired and make sure that each team member has their place to grow and excel. Work both autonomously and collaboratively with the team and other Optimove teamsRequirements: B.Sc. in computer science or equivalentAt least 1-2 years of experience in backend development- mustExperience with C#/.NET Core / Node.js (TypeScript)- mustAnalytical mindset, strive to make data-driven decisions. AdvantagesExperience working with micro-services architecture. Experience with Client-Side Angular frameworkExperience with RESTful Web APIExperience working with SQL and/or NoSQL databases. "
Junior Full stack developer," Sarid, North District, Israel ",12/03/2023,https://il.linkedin.com/jobs/view/junior-full-stack-developer-at-tomax-think-academy-3524839078?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=B7GJz4Ih4sA7qlcrofU2rw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Since 2004 Tomax has created cutting-edge digital solutions for higher education. We specialize in the end-to-end management of the entire exam and assessment lifecycle.Our software empowers universities and colleges to efficiently, effectively, and expertly prepare, manage, grade, review, control, and secure the exam and assessment process. our software and professional services are in use at 100+ universities with international expansion activities currently in progress.We are looking for an exceptional Full stack engineer to join us in our mission to provide Tomax customers with a coherent and usable experience. As a Full Stack engineer, you will be designing the next generation of Tomax’s products.Be part of the team and develop together scalable services and componentsTurn requirements into simple, elegant, optimal solutionsWork with team members and other groups to achieve company goalsDeliver high-quality code, collaborate with team members and aspire for engineering excellenceRequirementsBachelor in Computer Science or SW engineering Coding skills in JavaScript coupled with a strong base in object-oriented design and functional programmingStrong Experience in Node.js web frameworkExperience working with a modern web framework (React / Vue / Angular ).Deep experience and understanding of Javascript, CSS & HTML5.Ability to write clear, high-quality code for UI componentsDeep knowledge and understanding of frontend architecture and experience in building large-scale web applicationsExperienced with relational databases(MySQL, Postgres, etc.) good working knowledge of SQL, Experience in API design and best practicesExperience in building micro services-based architecturesFamiliarity with build tools like WebpackExcellent problem-solving skills and understanding of Object-Oriented Designs and Design PatternsStrong verbal and written communication skillsPreferred Qualifications :Strong base on AWS or any other cloud providerExperience with non-relational databases (MongoDB, Cassandra, Dynamo DB), designing schemas "
Front End Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",12/03/2023,https://il.linkedin.com/jobs/view/front-end-developer-at-go7-3524841273?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=obbgcD9elRfip3kOVC3QVg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a skilled Front End Developer with a strong background in React and TypeScript. The successful candidate will be responsible for developing and maintaining a large-scale product. You will work closely with our development team to ensure the product is functional, intuitive, and user-friendly. You are looking for an opportunity to join a great team and take a key role, which will also boost your career.Responsibilities:Develop and maintain our product using React and TypeScriptWrite clean, reusable, and maintainable codeCollaborate with our design team to ensure a seamless user experienceImplement new features and functionalitiesOptimize application performanceWrite automated tests to ensure code qualityWork closely with our development team to resolve issues and bugs "
Full-Stack Developer," Bnei Brak, Tel Aviv District, Israel ",23/02/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-arbox-3489443475?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=XhGVH6gipXjXbveMTx4K%2BA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"Our incredible team is seeking a motivated Full-Stack Developer to join us!As a developer, you'll deepen your skills, elevate our product and impact the fitness & wellness industry.Passion for technology and wellness? We want you!About Us:At Arbox, we live and breathe health and well-being.Our goal is to empower small to medium business owners to shift from industry experts to business experts.By using Arbox, our customers can focus on building their community and ensuring their clients' satisfaction while simultaneously growing their business. Our SaaS product has had a tremendous impact on our rapidly expanding global clientele, serving millions of end-users.At Arbox, we value a lively, forward-thinking, enjoyable, and supportive environment. We seek individuals who are friendly, imaginative, and dynamic, אישא share our belief that health and well-being are at the core of a better life.What your Arbox day will look like:Design, develop, modify, debug, and/or maintain front-end and back-end features, according to functional, non-functional, and technical design specifications.Deliver features end-to-end taking full ownership and manage the whole software development lifecycles, from design to release.You will be encouraged to actively look for innovation and continuous improvement, efficiency in all assigned tasks. Collaborate with other team members to develop and improve features, including design and code review in an agile environment.Requirements:B.Sc. in Computer Science or related degree from a leading university/college1+ years of experience in development - Highly preferredExperience with modern framework - React/Angular - A MUSTExperience with state management such as Redux - AdvantageExperience with MySQL - AdvantageExperience with Laravel framework - AdvantageAn autodidact fast learner, self-starter, broad-minded with a “can do” approachBring your spark :) "
Front End Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",14/04/2023,https://il.linkedin.com/jobs/view/front-end-developer-at-fiverr-3564038484?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=QevgPMxjKBCYUPPw69iMJw%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"DescriptionAre you ready to work on massive web projects and features that are being used by millions across the world? If yes, then you’ve come to the right place.As a Frontend Engineer at Fiverr, you'll be responsible for implementing core product features, building client infrastructure, and finding innovative solutions while working with cutting-edge technologies (React, Redux, ES6, Webpack, HTML5, and CSS3). We're looking for top talent that's ready to level up their skills in an exciting and fast-paced environment.Our work model is hybrid, combining remote and on-site work. This allows us to get things done when and where we are most productive.WHAT AM I GOING TO DO?Build packages, modules and reusable components that will be used across our codebase.Design, develop, test and deploy high traffic features, with an emphasis on scalability and performance.Be in charge of your team's technical domain - from design to production.Requirements3+ years of Javascript experience, working knowledge of asynchronous programming and ES6 concepts3+ years of HTML/CSS experience, familiarity with cross browser compatibility, accessibility and SEO best practicesExperience with browser APIs & front end performance optimizationsFluent EnglishAt Fiverr, we’re not about checklists. If you don’t meet 100% of the requirements for this role but still feel passionate about the position and think you have the right skills and qualifications to excel at it, we want to hear from you.EQUAL OPPORTUNITIESAt Fiverr, we prioritize diversity. We celebrate difference and embed it into every aspect of our workplace and product, as well as our community. Fiverr is proud and committed to providing equal opportunity employment to all individuals regardless of race, color, religion, sex, sexual orientation, citizenship, national origin, disability, Veteran status, or any other characteristic protected by law. In addition, Fiverr will provide accommodation to individuals with disabilities or a special need. "
Full Stack Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",19/01/2023,https://il.linkedin.com/jobs/view/full-stack-developer-at-go7-3481305083?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=12lxiUL5s24OAyHC2ZYMag%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"We are looking for a full stack developer that wants to take an active role in defining the shape of the future of online travel, we are completely redoing our system into new technologies and looking for people that have that perfection need.About The RoleYou will be a part of a team which is working with various types of data sources - Databases, APIs, remote data structures and more.Work with fellow developers, product managers and Account Managers in order to develop, integrate and maintain state-of-the-art systems, using advanced development tools and methodologies in a microservices architecture.Work as a team with fellow developers in order to achieve R&D goals.Your responsibilities will include a full stack development of our web application. "
Junior React Native Developer," Ramat Gan, Tel Aviv District, Israel ",09/04/2023,https://il.linkedin.com/jobs/view/junior-react-native-developer-at-kaltura-3560295096?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=xXLDJWKKt7doDNMiEixEnA%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"This is usKaltura’s (NYSE:KLTR) mission is to power any video experience for any organization – live, on-demand, or real-time. We not only want to make using video simpler, but we also want to better people’s lives through video. Founded in 2006, Kaltura is now a global leader in the video market with millions of people using our products daily to teach, learn, watch, connect, and collaborate. Among our customers, you’ll find more than 1000 global, well-known organizations.15+ years since starting the company, we continue to foster a diverse and collaborative work environment where everyone gets a say. Our team is currently 850+ people, and we’re still growing. We have offices in New York, London, Singapore, and Tel Aviv, but our technology is all in the cloud.Kaltura has a fast-paced environment where initiative is always encouraged. Together with our hybrid work model and flexible state of mind, you get the right conditions for creative juices to flow freely. Thanks to our long line of products, cultivation of rich collaborative culture and care for each Kalturian, you’ll never run out of room to grow and evolve.If you don't meet 100% of the requirements below - that's okay, nobody's perfect! We believe in hiring people, not just a list of skills. We encourage you to apply if you think this is a role that would make you excited about coming to work every day.Requirements:The roleWe’re looking for a junior developer for our KUX team in the media&telecom R&D unit.We’re developing a turnkey TV app product across all iOS and Android devices (Mobile and TV) for the PayTV platform that will be used by top tier customers and will help them to shape the future TV experience for their end users.If you like the TV/OTT/Streaming/Netflix world and want to impact how the next generation will consume TV - your place is with us!Ideally, we’re looking for:Highly motivated React Native developer with 1 year of experience in development of React Native appsExcellent user experience intuition and skillsFluency in Typescript, Javascript , CSS3Good understanding of Native and HTML/CSS layoutsAbility to work and learn independently as well as in a team environmentWorking in a distributed agile environmentFluent in English (written and verbal) and excellent communication skillsCreate an inspiring team environment with an open communication cultureThese would also be nice:Experience with native modules and JSIFamiliarities with native build tools, like XCode, Gradle, and Android studioKnowledge how to Upload the app to Google Store / App StoreExperience with automated testing suitesBSc/BA in Computer Science (or equivalent) The perks: Hybrid, flexible work environment Extended private health (including mental) insurance Personal and professional development programs Occasional Cross company long weekends "
Frontend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",24/12/2022,https://il.linkedin.com/jobs/view/frontend-developer-at-explorium-3437845118?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=KEKYp3H1%2F%2FoRyNubrRk9ag%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Explorium is a cutting-edge data science company that has recently closed a Series C round bringing their total funding to $127 million.Explorium offers a first of its kind data science platform powered by augmented data discovery and feature engineering. By automatically connecting to thousands of external data sources and leveraging machine learning to distill the most impactful signals, the Explorium platform empowers data scientists and business leaders to drive decision-making by eliminating the barrier to acquire the right data and enabling superior predictive power.We are looking for a passionate, creative, and talented Frontend Developer with experience in modern frontend frameworks and an excellent understanding of server-side technologies. We are looking for you if you have an eye for clean code and an appetite for working with the latest web technologies. We expect you to be a real team player with a strong can-do attitude, great communication skills, and self-learning ability.As a developer in our team, you will be part of implementing major technological improvements in the app and creating new features from scratch as the product evolves. Also, you will Collaborate with the rest of the engineering and product managers teams to design and launch new features end-to-end.Responsibilities:Develop new features in web applications with complex data-heavy layouts.Continuously learn and evaluate new technologies in the everlasting effort to perfect our product.Collaborate with product managers, UX/UI designers, and QA in order to deliver the best features.Understanding business priorities, participating in feature design, and incremental delivery of a SaaS application.Working in an Agile environment, at a sustainable pace, in two-week sprints Requirements:At least 3 years of experience in React/Angular/Vue.Deep understanding Javascript.Knowledge in software architecture design, REST API and Web Sockets.Great analytical and troubleshooting skills.Motivated, energetic and ambitious team player.Passionate for code quality, testing and performance. "
Backend Engineer," Hod HaSharon, Center District, Israel ",23/03/2023,https://il.linkedin.com/jobs/view/backend-engineer-at-sony-semicon-il-3533861706?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=6BNZ4DS%2F%2FD2N2FrA1LEEsA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"Design the future. Every day.We are on a mission in taking the world into a new future. Connecting it and enabling new ways of seeing it. By the power of curiosity and passion, using technology, and in full partnership - we lead change day by day. Our vision is built by individuals, connected to one another. We are in the business of creating our own reality, when it’s the daily effort that counts – for an exciting future, one we wish to live in.About The DNN GroupSony Semiconductor Israel’s DNN group (Deep Neural Network group) is developing a leading-in-its-segment deep learning inference processor and SW tools for edge applications.We have a fundamental understanding of how neural networks operate. Our edge device runs the networks with almost no loss in accuracy and minimal power consumption. with our team’s expertise in SW and HW architecture, to develop a product that has the potential to be a landmark in computer technology.The DNN group is a mixture of experts from various fields such as ML researchers, Alg, SW, FW, and HW, with the highest standard of executing complex projects. We have a proven track record of bringing up multiple projects, working and collaborating with the world industry giants.About The RoleThe DNN group is looking to hire a motivated and skilled backend developer.In this role, you’ll have a unique opportunity to join our latest addition to our product line from its inception, a cloud service component as a part of Sony’s eML_Ops ecosystem for AITRIOS – its edge AI sensing platform for facilitating edge & cloud AI systems and applications development.We are looking for a skilled software engineer to design, drive, implement and evolve key capabilities, scenarios, and features for our new product.Responsibilities: Take part in building a new system from scratch Develop and deploy key features in a microservices environment Integrate with 3rd party APIs Investigate and learn new technologiesRequirements:5+ years of experience as a software engineer, working with modern programming languages (Kotlin / Java / .Net)Bachelor’s degree in Computer Science, Engineering, or equivalent alternative from a leading universityExperience working with databases, such as PostgreSQL/MySQL and MongoDBExperience with Spring Boot / Hibernate / Entity FrameworkTeam player with excellent collaboration and communication skillsEager to learn and developAdvantage:Frontend experience: React / Angular / TypeScript / JavaScriptCloud DevOps: knowledge with cloud configurations and networkingData scienceAutomationCI/CDRedisRabbitMQAt Sony Semiconductor Israel, you have the opportunity to work with cutting-edge technology among professional colleges and teammates in an innovative environment that fosters creativity, partnership, and initiative. Join and explore new boundaries and enjoy extensive benefits. Let's design the tomorrow, together. "
Frontend Developer," Tel Aviv-Yafo, Tel Aviv District, Israel ",12/02/2023,https://il.linkedin.com/jobs/view/frontend-developer-at-dagshub-3519701222?refId=HBPYxb3XoMRLKIZ4lwFbnQ%3D%3D&trackingId=6dMm2mP5CV3L2JiNMk%2F01g%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"DagsHub is looking for a Frontend Developer to bring our frontend to the next level. If you want to build things from the ground up, and have a central role in the company, this is the stage to join.As our Senior Frontend Developer, you will be the owner and leader of our frontend. We want our product to have the best user experience possible while having a well-engineered frontend that allows us to iterate fast on development tasks with reusable components and clear logic.You willDevelop & design reusable frontend components and servicesLead an overhaul of our existing frontend. Choose the best tech stack and workflow, and work with our backend developers to make it a realityWork with our UI\UX designer and product manager to build a beautiful, practical UI/UX for machine learning workflows. We care about our look and feel, so this is not a second priorityTake ownership of our adoption of frontend performance best practicesQualificationsImprove our support for mobile web browsersExperienced (3+ years of industry experience) working as a frontend developer.Experience in Javascript, and in frontend frameworks like React or similar.Experience in web performance tuning - desktop and mobile.Experience working with Git and Github.Experienced in thinking in terms of business and product goals, translating them to technical solutions, and implementing those solutions.Experience in modern frontend infrastructure, such as npm, webpack, babel, or similar.A fun person to work with! We are in this together for the long haul.BonusExperience in at least one more programming language like Go, Python, C++, Java, etc.Experience in the non-frontend aspects of web application development.Experience collaborating with UX\UI designers.Curious about data science, machine learning, and DevOps - you're a tech enthusiast at heart.You enjoy outward-facing activities such as speaking at events, writing blog posts about your work, and interacting with developer communities.You have an interest or experience in building or contributing to open source projectsAbout DagsHubAt DAGsHub, we're building the next generation GitHub - for data scientists & machine learning engineers. We provide everything data science teams need to manage their projects and collaborate. We are transforming well-established software practices into their natural equivalents in the data-science wild west, and creating new effective ways for data scientists to work together.Our product helps people and teams discover data science experiments & projects, understand the thought process behind experiments, reproduce results and incorporate & review changes in code as well as data and models. We believe this is the way to create the most vibrant collaborative data science community in the world.DAGsHub is a well-funded, high-growth startup building tools for the Open Source Data Science community, with a fast-growing international community on the platform. "
